model,drop out,methods,reward,test,cifar100,svhn,tinyimagenet,lsun cropped,lsun resize,isun,textures,places365
modelvit,do0,Confidence,rew0,0.0014222222222220642,0.5160061967139155,0.7318609218547364,0.5160061967139155,0.5160061967139155,0.5160061967139155,0.48761084803608873,0.37474988283484495,0.5160061967139155
modelvit,do1,KPCA RecError global,rew0,0.2239658443401046,0.8782194637426475,0.873408095191975,0.8742358346280806,0.861131933549711,0.87235778029551,0.8709064929215635,0.8621053248929698,0.8758038453099486
modelvit,do1,PCA RecError global,rew0,0.23379956811634175,0.8854266538322898,0.8966655757416563,0.876704659018093,0.8927958356717134,0.8877538870791973,0.8840722709213074,0.843622764284729,0.8710470495730407
modelvit,do0,Residual,rew0,0.24241735593460043,0.8158984768298023,0.8715728213526314,0.7961250794416406,0.8054821090539155,0.8200817224068416,0.8119364409534274,0.5963421036614447,0.7677890239501954
modelvit,do0,Maha,rew0,0.28920023063016326,0.8630327320575446,0.9007585053647702,0.8091849905113147,0.8578826963153328,0.8880118847167342,0.8822664873711961,0.43726548474169624,0.7131633957371983
modelvit,do0,GEN,rew0,0.34575480796256436,0.7686081108278829,0.8210211860045392,0.7655286621590695,0.7210453558930713,0.800089064633983,0.783817710343243,0.6318025421334496,0.7032613988518495
modelvit,do1,ViM,rew0,0.4188779474775936,0.8656263142118824,0.905215841228104,0.8580830326308615,0.888355810046501,0.8711057321247144,0.867654141095087,0.8007905172455807,0.8435152164048765
modelvit,do1,pNML,rew0,0.44219251491748784,0.8620120386130357,0.8796201189635822,0.8409643357139206,0.8784679391231736,0.8614797203475689,0.8559109304187501,0.7491447910614393,0.8316935477307196
modelvit,do0,PCE,rew0,0.4627270130289691,0.7492458238668587,0.7971232401649846,0.7362936178876975,0.6697794379457641,0.7767563476136233,0.7565177835478203,0.43403137612740955,0.6407058042984148
modelvit,do0,PE,rew0,0.46992802533834255,0.7281278999067672,0.775525719522408,0.7151095268236016,0.6371393176222961,0.7503353645750058,0.7323319120048413,0.3909257592721187,0.6137128297519816
modelvit,do1,GradNorm,rew0,0.5077683607917142,0.8832825086668443,0.8941196112045849,0.8853022310525821,0.8880293821617142,0.8882092028577873,0.8861326927600398,0.8716974161042981,0.8818590048957038
modelvit,do0,GE,rew0,0.5096904979134529,0.7323784196826575,0.7836957528799398,0.7182865057914858,0.6420325380561437,0.7582531375992686,0.7347365731256474,0.3790574810729992,0.61535636996207
modelvit,do0,fDBD,rew0,0.5292151088198348,0.8011466825837505,0.827143927586766,0.7878115940747396,0.7583534661883523,0.8101442737192546,0.7977049367179281,0.580355606698595,0.730966847717251
modelvit,do0,NNGuide,rew0,0.5320334168016205,0.7188846138652565,0.6907878912989742,0.7030812675320914,0.6389708423340436,0.7422589932526616,0.7277738848613291,0.38161342582034813,0.6160365246175843
modelvit,do1,CTM,rew0,0.5570891762245196,0.8867528806752558,0.9163459963031244,0.8869284367838779,0.8925964225833157,0.8927703187776839,0.8907113949133988,0.8612760461874464,0.8813122303957526
modelvit,do0,MSR,rew0,0.5765044407227397,0.7636255616040478,0.8206999090769891,0.7549721354536627,0.7119653235640089,0.7868373245204798,0.7717798016903474,0.5951546162805631,0.6943707181740061
modelvit,do0,REN,rew0,0.5792883061324974,0.8278392180690528,0.8628961097034328,0.8201091163877138,0.8043655306066549,0.8332308694127522,0.8222920592465828,0.7995276166006594,0.8191738702548532
modelvit,do0,MLS,rew0,0.6228726792922149,0.7256896082329165,0.7517389955637442,0.7195898605262971,0.6635425308603423,0.7593555700075525,0.7428685338340058,0.4006962240398707,0.6363753178560824
modelvit,do1,Energy,rew0,0.6412545582098356,0.898840892593865,0.9096121963091661,0.8978312593647091,0.8970822440811919,0.9017826450274811,0.899600536665465,0.8586134936491865,0.8908529340436029
modelvit,do0,NeCo,rew0,0.6529233356871056,0.6989532062298455,0.7512736675085847,0.6976403752268263,0.6615445268304462,0.748955226769968,0.7260442493478212,0.3598983592523119,0.612139933122932
modelvit,do0,CTMmean,rew0,0.796802398591935,0.8192565362947113,0.7477886062573569,0.7943573420886241,0.7355977254824106,0.7881350049962729,0.7870139451666099,0.5386002521582537,0.7106409180096737
modelvit,do0,CTMmeanOC,rew0,0.7998187625698848,0.8168144919332926,0.7361044453881085,0.7921427212755375,0.7318709525617356,0.7874821174420579,0.7839844215652133,0.5536959680528256,0.7069556278231962
