model,drop out,methods,reward,run,test,cifar10,svhn,lsun cropped,lsun resize,isun,textures,places365
modelvit,do0,CTMmeanOC,rew0,0,0.2242396420750925,0.4249320972319243,0.4662922507197158,0.4487790912081572,0.4913096442046465,0.4650718627595004,0.2746251580073685,0.4061490877130966
modelvit,do0,CTMmeanOC,rew0,0,0.2242396420750925,0.4249320972319243,0.4662922507197158,0.4487790912081572,0.4913096442046465,0.4650718627595004,0.2746251580073685,0.4061490877130966
modelvit,do0,CTMmeanOC,rew0,1,0.2216728048033515,0.4287390338344342,0.4176653990345994,0.4106687519646126,0.4832217584799762,0.4649038549818144,0.2648031039113784,0.4268809426810664
modelvit,do0,CTMmeanOC,rew0,1,0.2216728048033515,0.4287390338344342,0.4176653990345994,0.4106687519646126,0.4832217584799762,0.4649038549818144,0.2648031039113784,0.4268809426810664
modelvit,do0,CTMmeanOC,rew0,2,0.2116577138031237,0.4193899456333068,0.4499831926079841,0.4759585602976586,0.4900565630726338,0.4646400534846385,0.2593117973747805,0.413121762032588
modelvit,do0,CTMmeanOC,rew0,2,0.2116577138031237,0.4193899456333068,0.4499831926079841,0.4759585602976586,0.4900565630726338,0.4646400534846385,0.2593117973747805,0.413121762032588
modelvit,do0,CTMmeanOC,rew0,3,0.2137822808728727,0.4270227162184172,0.4615206398979726,0.4282666218934833,0.4698445975762181,0.4545260584473871,0.2874354646267215,0.4306484363253038
modelvit,do0,CTMmeanOC,rew0,3,0.2137822808728727,0.4270227162184172,0.4615206398979726,0.4282666218934833,0.4698445975762181,0.4545260584473871,0.2874354646267215,0.4306484363253038
modelvit,do0,CTMmeanOC,rew0,4,0.206040414570179,0.413044202553829,0.4005408784818886,0.4569659998577814,0.4930357828690031,0.469324812487556,0.2318701960397523,0.417773412647453
modelvit,do0,CTMmeanOC,rew0,4,0.206040414570179,0.413044202553829,0.4005408784818886,0.4569659998577814,0.4930357828690031,0.469324812487556,0.2318701960397523,0.417773412647453
