model,drop out,methods,reward,test,cifar10,svhn,tinyimagenet,lsun cropped,lsun resize,isun,textures,places365
confidnet,do1,MCD-EMaha,rew2.2,0.006310876364959951,0.3473890259238971,0.5451408072344971,0.34723066598235935,0.34718265177550833,0.3469607513965805,0.3195963318072138,0.2054891798299734,0.347168597831258
confidnet,do1,MCD-Residual,rew2.2,0.02021424114320386,0.3483723695603404,0.5451320832547354,0.3477902931779572,0.347933230692763,0.3470809713617559,0.31980836122847633,0.20689238286191447,0.3483660099701586
confidnet,do1,MCD-EpNML,rew2.2,0.025479192227214738,0.3441805240297097,0.5541209233748543,0.35599282181158565,0.395105833976385,0.36315283339743276,0.3371662816367593,0.2382796546694652,0.39449430508358463
confidnet,do1,MCD-EViM,rew2.2,0.0258989292301956,0.349302299831368,0.5451226262258368,0.3481527307560975,0.349945133507134,0.34739633293615785,0.3201197252081348,0.2079064922800212,0.3503236856556901
confidnet,do1,MCD-MLS,rew2.2,0.026532606151395306,0.22779315646012568,0.3655809683837344,0.22992635696664881,0.2136351599124104,0.25098703472037664,0.22669205750465582,0.13764269250892283,0.2321865753066227
confidnet,do1,MCD-ECTM,rew2.2,0.026877799241406652,0.2687509275619502,0.308605406566593,0.22724590564386912,0.21342054380744704,0.22753548520600828,0.21014302300885776,0.14729585664244965,0.24158745019617972
confidnet,do1,MCD-EResidual,rew2.2,0.026890325782578016,0.34942698276533224,0.5451421678657972,0.34841241282078134,0.3500112431455362,0.3475337082381209,0.32019687937655705,0.20824726054802398,0.3503608321242569
confidnet,do1,MCD-NNGuide,rew2.2,0.026905827069820767,0.23444443417430003,0.36286445760438246,0.23184619060601305,0.21415869646917482,0.25511645084940926,0.2261372559485871,0.13157908759119588,0.23694689044797174
confidnet,do1,MCD-NeCo,rew2.2,0.02698385586004528,0.2279053882901809,0.3632285285298826,0.22871310474116086,0.21308270356330697,0.24979833943405041,0.225458355554223,0.1365386786390986,0.23199506134462747
confidnet,do1,MCD-EMLS,rew2.2,0.02785524484823603,0.23139451816287138,0.3720665883745935,0.23356681984381888,0.21460868591393242,0.25189560990770365,0.22810359465284744,0.13954904996168674,0.23481906441208972
confidnet,do1,MCD-PCE,rew2.2,0.028272641718707858,0.2251095526366735,0.3667564747944767,0.23471400473707227,0.21104671584210283,0.2664234226768631,0.2365556459373262,0.13680227958093505,0.23091290451212942
confidnet,do1,MCD-EfDBD,rew2.2,0.02857328959983747,0.24760264727829387,0.30409679286421737,0.21504161395600654,0.19682073564132546,0.22398968336221903,0.20253541261103936,0.12904984600341204,0.23291371986419174
confidnet,do1,MCD-ENNGuide,rew2.2,0.02863964294034826,0.2375137628805144,0.3702167190473361,0.23652749531765138,0.2157119528560457,0.2589906310775485,0.23064630580827464,0.13464948090750264,0.24040597376470946
