model,drop out,methods,reward,run,test,cifar10,svhn,lsun cropped,lsun resize,isun,textures,places365
confidnet,do0,fDBD,rew2.2,1,0.2807941584883607,0.2418532765977485,0.331953372573391,0.2093514537383124,0.2344343611335798,0.2360453196743231,0.2923000522151632,0.2937285837468035
confidnet,do0,fDBD,rew2.2,1,0.2807941584883607,0.2418532765977485,0.331953372573391,0.2093514537383124,0.2344343611335798,0.2360453196743231,0.2923000522151632,0.2937285837468035
confidnet,do0,fDBD,rew2.2,2,0.2901958059048557,0.2576189013981905,0.337963259406195,0.2185659753164006,0.2674879930265784,0.2624035071935507,0.3167908631074408,0.307667453662162
confidnet,do0,fDBD,rew2.2,2,0.2901958059048557,0.2576189013981905,0.337963259406195,0.2185659753164006,0.2674879930265784,0.2624035071935507,0.3167908631074408,0.307667453662162
confidnet,do0,fDBD,rew2.2,3,0.2907421575626261,0.2680627107626446,0.2667131737149849,0.2143372891512062,0.2566697053751028,0.2518496564200403,0.3004896018209881,0.2984389233660687
confidnet,do0,fDBD,rew2.2,3,0.2907421575626261,0.2680627107626446,0.2667131737149849,0.2143372891512062,0.2566697053751028,0.2518496564200403,0.3004896018209881,0.2984389233660687
confidnet,do0,fDBD,rew2.2,4,0.2827880860221992,0.2464786276066056,0.3110458078732439,0.189238067139873,0.2099526079186948,0.2137251054949612,0.2885631095644773,0.2759349874203768
confidnet,do0,fDBD,rew2.2,4,0.2827880860221992,0.2464786276066056,0.3110458078732439,0.189238067139873,0.2099526079186948,0.2137251054949612,0.2885631095644773,0.2759349874203768
confidnet,do0,fDBD,rew2.2,5,0.2855028119188034,0.2399201739801262,0.2560095784063036,0.1927129219929659,0.2144820429974165,0.2219446666806259,0.2910868516474989,0.2879082298812315
confidnet,do0,fDBD,rew2.2,5,0.2855028119188034,0.2399201739801262,0.2560095784063036,0.1927129219929659,0.2144820429974165,0.2219446666806259,0.2910868516474989,0.2879082298812315
confidnet,do0,CTM,rew2.2,1,0.2806714333039239,0.2271373275152791,0.3106987246671436,0.1945141548132544,0.216676850445372,0.2201669455039034,0.2972267513197789,0.2836041628403006
confidnet,do0,CTM,rew2.2,1,0.2806714333039239,0.2271373275152791,0.3106987246671436,0.1945141548132544,0.216676850445372,0.2201669455039034,0.2972267513197789,0.2836041628403006
confidnet,do0,CTM,rew2.2,2,0.2923564315883159,0.2499850679589204,0.3296381491616281,0.2097456206263868,0.2492942876105733,0.2491598793937894,0.323571821452295,0.3032515439706136
confidnet,do0,CTM,rew2.2,2,0.2923564315883159,0.2499850679589204,0.3296381491616281,0.2097456206263868,0.2492942876105733,0.2491598793937894,0.323571821452295,0.3032515439706136
confidnet,do0,CTM,rew2.2,3,0.291789603889624,0.2464561196324419,0.2438491982819911,0.1948222870976963,0.2247282253619196,0.2252045463721137,0.3051793195745792,0.2881656188612733
confidnet,do0,CTM,rew2.2,3,0.291789603889624,0.2464561196324419,0.2438491982819911,0.1948222870976963,0.2247282253619196,0.2252045463721137,0.3051793195745792,0.2881656188612733
confidnet,do0,CTM,rew2.2,4,0.2865249094287828,0.2357167207490736,0.2962311694783738,0.1814652116347199,0.1962548627037852,0.2034712401236555,0.296357089446731,0.2713496164989473
confidnet,do0,CTM,rew2.2,4,0.2865249094287828,0.2357167207490736,0.2962311694783738,0.1814652116347199,0.1962548627037852,0.2034712401236555,0.296357089446731,0.2713496164989473
confidnet,do0,CTM,rew2.2,5,0.2879305320213294,0.2275634396718808,0.2503637626605651,0.1805752023361894,0.1989535566208104,0.2086395605247887,0.2966493588027465,0.2793469510353458
confidnet,do0,CTM,rew2.2,5,0.2879305320213294,0.2275634396718808,0.2503637626605651,0.1805752023361894,0.1989535566208104,0.2086395605247887,0.2966493588027465,0.2793469510353458
confidnet,do0,MSR,rew2.2,1,0.2797903773065868,0.2709302700308378,0.4140954222612659,0.2864879048042854,0.2778676566632475,0.2743174334443638,0.3219916436428137,0.3002561029153165
confidnet,do0,MSR,rew2.2,1,0.2797903773065868,0.2709302700308378,0.4140954222612659,0.2864879048042854,0.2778676566632475,0.2743174334443638,0.3219916436428137,0.3002561029153165
confidnet,do0,MSR,rew2.2,2,0.2924005492660972,0.2947143612403494,0.3905761133093496,0.3270060138360315,0.3257683511390951,0.309469708935801,0.3433789582561036,0.3225046919257803
confidnet,do0,MSR,rew2.2,2,0.2924005492660972,0.2947143612403494,0.3905761133093496,0.3270060138360315,0.3257683511390951,0.309469708935801,0.3433789582561036,0.3225046919257803
confidnet,do0,MSR,rew2.2,3,0.2965869250918152,0.302431482386613,0.3263920721461807,0.3017312678447551,0.3094034923138853,0.2984528028207472,0.3321711774659479,0.3146700857595295
confidnet,do0,MSR,rew2.2,3,0.2965869250918152,0.302431482386613,0.3263920721461807,0.3017312678447551,0.3094034923138853,0.2984528028207472,0.3321711774659479,0.3146700857595295
confidnet,do0,MSR,rew2.2,4,0.2872706669452387,0.2829704494919971,0.3901220809346253,0.2874946190521223,0.2626884664541865,0.2677079876640375,0.3160756071040756,0.2916656204178046
confidnet,do0,MSR,rew2.2,4,0.2872706669452387,0.2829704494919971,0.3901220809346253,0.2874946190521223,0.2626884664541865,0.2677079876640375,0.3160756071040756,0.2916656204178046
confidnet,do0,MSR,rew2.2,5,0.2850671880647871,0.2838700092272252,0.3697355478390047,0.2706957152831344,0.2642923809523836,0.2712076295123338,0.3195056250086475,0.2903151057706856
confidnet,do0,MSR,rew2.2,5,0.2850671880647871,0.2838700092272252,0.3697355478390047,0.2706957152831344,0.2642923809523836,0.2712076295123338,0.3195056250086475,0.2903151057706856
confidnet,do0,GEN,rew2.2,1,0.2806304798425054,0.2601601853345167,0.393881460285975,0.2417348152277067,0.2655579692702188,0.2644715007679992,0.3184902218320363,0.301893745456737
confidnet,do0,GEN,rew2.2,1,0.2806304798425054,0.2601601853345167,0.393881460285975,0.2417348152277067,0.2655579692702188,0.2644715007679992,0.3184902218320363,0.301893745456737
confidnet,do0,GEN,rew2.2,2,0.2924436232711603,0.2779963309678525,0.3712351497007138,0.2810528826945971,0.3092671596514974,0.2956727312826748,0.3398347659339659,0.3172901696558227
confidnet,do0,GEN,rew2.2,2,0.2924436232711603,0.2779963309678525,0.3712351497007138,0.2810528826945971,0.3092671596514974,0.2956727312826748,0.3398347659339659,0.3172901696558227
confidnet,do0,GEN,rew2.2,3,0.295665022242459,0.2858196746206324,0.2787160483662384,0.2475665765544184,0.2882828681153432,0.2804810156785388,0.3279951627650068,0.3115921724389812
confidnet,do0,GEN,rew2.2,3,0.295665022242459,0.2858196746206324,0.2787160483662384,0.2475665765544184,0.2882828681153432,0.2804810156785388,0.3279951627650068,0.3115921724389812
confidnet,do0,GEN,rew2.2,4,0.2883431232564108,0.272373389088813,0.3816117705272787,0.2524703775228943,0.2474697975189917,0.2534518781071221,0.3164516150074495,0.2907647807581834
confidnet,do0,GEN,rew2.2,4,0.2883431232564108,0.272373389088813,0.3816117705272787,0.2524703775228943,0.2474697975189917,0.2534518781071221,0.3164516150074495,0.2907647807581834
confidnet,do0,GEN,rew2.2,5,0.2859592169358971,0.2630163030881986,0.3506683721522103,0.2261682581445093,0.2431235163859058,0.2503913265826442,0.3168879026820362,0.2924169020089634
confidnet,do0,GEN,rew2.2,5,0.2859592169358971,0.2630163030881986,0.3506683721522103,0.2261682581445093,0.2431235163859058,0.2503913265826442,0.3168879026820362,0.2924169020089634
confidnet,do0,PCE,rew2.2,1,0.2822127449850216,0.2714029867284526,0.4090210585572578,0.2872365409530646,0.2776762998580263,0.274119512026463,0.321029892442049,0.2994803677217525
confidnet,do0,PCE,rew2.2,1,0.2822127449850216,0.2714029867284526,0.4090210585572578,0.2872365409530646,0.2776762998580263,0.274119512026463,0.321029892442049,0.2994803677217525
confidnet,do0,PCE,rew2.2,2,0.2946034545737912,0.2991042343432626,0.3947595206504905,0.3343886256552272,0.3273198930545118,0.3113639212886165,0.3446038375624483,0.3238913368873732
