model,drop out,methods,reward,test,cifar10,svhn,lsun cropped,lsun resize,isun,textures,places365
confidnet,do1,Maha,rew2.2,0.02116615182816423,0.3198929193874756,0.5419831866791676,0.4487467948319075,0.304026653958403,0.2959691261515936,0.2544567880144538,0.2636316624927419
confidnet,do1,Maha,rew2.2,0.02116615182816423,0.3198929193874756,0.5419831866791676,0.4487467948319075,0.304026653958403,0.2959691261515936,0.2544567880144538,0.2636316624927419
confidnet,do1,MLS,rew2.2,0.022882703717474036,0.15349769018149628,0.2951725272215104,0.13897577720715298,0.16351734130956924,0.1494425982040896,0.07306880663396631,0.1608077210886844
confidnet,do1,MLS,rew2.2,0.022882703717474036,0.15349769018149628,0.2951725272215104,0.13897577720715298,0.16351734130956924,0.1494425982040896,0.07306880663396631,0.1608077210886844
confidnet,do1,GE,rew2.2,0.02311771451323292,0.1641978981390891,0.2975609350868645,0.15692947348804723,0.17070764850480233,0.15862095187127184,0.07913456773372203,0.16247882362911575
confidnet,do1,GE,rew2.2,0.02311771451323292,0.1641978981390891,0.2975609350868645,0.15692947348804723,0.17070764850480233,0.15862095187127184,0.07913456773372203,0.16247882362911575
confidnet,do1,PCE,rew2.2,0.023251823727556943,0.12851402929722855,0.27803231355799246,0.1095921244044372,0.13727599127796508,0.12118828950917468,0.07312001920290175,0.14719635977137538
confidnet,do1,PCE,rew2.2,0.023251823727556943,0.12851402929722855,0.27803231355799246,0.1095921244044372,0.13727599127796508,0.12118828950917468,0.07312001920290175,0.14719635977137538
confidnet,do1,PE,rew2.2,0.023464710533600452,0.14432019482198277,0.279696843261274,0.1312282396441746,0.15037637056971578,0.1374919888760029,0.07125379992858907,0.14914474825314683
confidnet,do1,PE,rew2.2,0.023464710533600452,0.14432019482198277,0.279696843261274,0.1312282396441746,0.15037637056971578,0.1374919888760029,0.07125379992858907,0.14914474825314683
confidnet,do1,NeCo,rew2.2,0.023995164034684154,0.1582587960413215,0.3051286114650084,0.14369938372018407,0.16789268804700674,0.15365670096423878,0.07611569723457626,0.1627975329860597
confidnet,do1,NeCo,rew2.2,0.023995164034684154,0.1582587960413215,0.3051286114650084,0.14369938372018407,0.16789268804700674,0.15365670096423878,0.07611569723457626,0.1627975329860597
confidnet,do1,CTM,rew2.2,0.026380938215638958,0.13307657361591327,0.2344482604619933,0.12114324700412128,0.1386462502836087,0.13695814773456694,0.07038884467171072,0.13946163871652534
confidnet,do1,CTM,rew2.2,0.026380938215638958,0.13307657361591327,0.2344482604619933,0.12114324700412128,0.1386462502836087,0.13695814773456694,0.07038884467171072,0.13946163871652534
confidnet,do1,Confidence,rew2.2,0.02696415970199813,0.11884392227477028,0.28280930768821133,0.08511699329310206,0.12196737974263512,0.10485837426171865,0.08077599837752251,0.15232363251063177
confidnet,do1,Confidence,rew2.2,0.02696415970199813,0.11884392227477028,0.28280930768821133,0.08511699329310206,0.12196737974263512,0.10485837426171865,0.08077599837752251,0.15232363251063177
confidnet,do0,KPCA RecError global,rew2.2,0.0273988710495064,0.18236768603336886,0.3000476502426596,0.15617301243611847,0.1898809367913744,0.17954713823507565,0.1339053236517509,0.18999987991876666
confidnet,do0,KPCA RecError global,rew2.2,0.0273988710495064,0.18236768603336886,0.3000476502426596,0.15617301243611847,0.1898809367913744,0.17954713823507565,0.1339053236517509,0.18999987991876666
confidnet,do1,Energy,rew2.2,0.027927815265414515,0.18908639650558778,0.31063811078396325,0.18976669621115197,0.19457842988375607,0.1848900861953818,0.10222513292076259,0.18005779279068324
confidnet,do1,Energy,rew2.2,0.027927815265414515,0.18908639650558778,0.31063811078396325,0.18976669621115197,0.19457842988375607,0.1848900861953818,0.10222513292076259,0.18005779279068324
confidnet,do0,MSR,rew2.2,0.028064582088645113,0.16550873480768433,0.33369242545825095,0.17323488259547978,0.1655129374127806,0.15138191439144752,0.11462110648817146,0.16511390117712021
confidnet,do0,MSR,rew2.2,0.028064582088645113,0.16550873480768433,0.33369242545825095,0.17323488259547978,0.1655129374127806,0.15138191439144752,0.11462110648817146,0.16511390117712021
confidnet,do1,GradNorm,rew2.2,0.030058833820466157,0.2454620235369698,0.46913619565698034,0.23104075371656893,0.2747603077997608,0.22547988786041548,0.11811486051227339,0.24194607452709674
confidnet,do1,GradNorm,rew2.2,0.030058833820466157,0.2454620235369698,0.46913619565698034,0.23104075371656893,0.2747603077997608,0.22547988786041548,0.11811486051227339,0.24194607452709674
