,ece_l1,ece_l1,ece_l1,ece_l1,ece_l1,ece_l1,ece_l1,ece_l2,ece_l2,ece_l2,ece_l2,ece_l2,ece_l2,ece_l2,mce,mce,mce,mce,mce,mce,mce,ece_l1_bound,ece_l1_bound,ece_l1_bound,ece_l1_bound,ece_l1_bound,ece_l1_bound,ece_l1_bound,ece_l2_bound,ece_l2_bound,ece_l2_bound,ece_l2_bound,ece_l2_bound,ece_l2_bound,ece_l2_bound
,confidnet,confidnet,devries,devries,dg,dg,dg,confidnet,confidnet,devries,devries,dg,dg,dg,confidnet,confidnet,devries,devries,dg,dg,dg,confidnet,confidnet,devries,devries,dg,dg,dg,confidnet,confidnet,devries,devries,dg,dg,dg
,drop_out,calibration,drop_out,calibration,drop_out,reward,calibration,drop_out,calibration,drop_out,calibration,drop_out,reward,calibration,drop_out,calibration,drop_out,calibration,drop_out,reward,calibration,drop_out,calibration,drop_out,calibration,drop_out,reward,calibration,drop_out,calibration,drop_out,calibration,drop_out,reward,calibration
methods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD-EResidual,do1,Isotonic,do1,Isotonic,do1,15.0,Isotonic,do1,Isotonic,do1,Isotonic,do1,15.0,Isotonic,do1,Sigmoid,do1,Sigmoid,do1,10.0,Sigmoid,do1,Sigmoid,do1,Sigmoid,do1,10.0,Sigmoid,do1,Beta,do1,Sigmoid,do1,10.0,Sigmoid
MCD-EMaha,do1,Isotonic,do1,Isotonic,do1,12.0,Isotonic,do1,Isotonic,do1,Isotonic,do1,12.0,Isotonic,do1,Sigmoid,do1,Sigmoid,do1,10.0,Beta,do1,Sigmoid,do1,Sigmoid,do1,10.0,Beta,do1,Beta,do1,Sigmoid,do1,10.0,Beta
MCD-Residual,do1,Isotonic,do1,Isotonic,do1,10.0,Isotonic,do1,Beta,do1,Sigmoid,do1,10.0,Isotonic,do1,Sigmoid,do1,Sigmoid,do1,10.0,Sigmoid,do1,Beta,do1,Sigmoid,do1,10.0,Beta,do1,Beta,do1,Sigmoid,do1,10.0,Beta
MCD-Maha,do1,Beta,do1,Isotonic,do1,10.0,Isotonic,do1,Beta,do1,Isotonic,do1,15.0,Isotonic,do1,Beta,do1,Sigmoid,do1,12.0,Sigmoid,do1,Beta,do1,Sigmoid,do1,10.0,Beta,do1,Beta,do1,Sigmoid,do1,10.0,Beta
MCD-MI,do1,Beta,do1,Beta,do1,20.0,Isotonic,do1,Beta,do1,Beta,do1,10.0,Beta,do1,Sigmoid,do1,Sigmoid,do1,15.0,Beta,do1,Isotonic,do1,Isotonic,do1,20.0,Isotonic,do1,Beta,do1,Beta,do1,20.0,Beta
MCD-EPCE,do1,Beta,do1,Beta,do1,12.0,Beta,do1,Beta,do1,Beta,do1,10.0,Beta,do1,Beta,do1,Sigmoid,do1,20.0,Beta,do1,Isotonic,do1,Isotonic,do1,10.0,Isotonic,do1,Beta,do1,Beta,do1,10.0,Beta
MCD-PCA RecError global,do1,Isotonic,do1,Isotonic,do1,20.0,Isotonic,do1,Beta,do1,Beta,do1,20.0,Beta,do1,Beta,do1,Beta,do1,10.0,Beta,do1,Isotonic,do1,Isotonic,do1,20.0,Isotonic,do1,Beta,do1,Beta,do1,20.0,Beta
MCD-CTM,do1,Sigmoid,do1,Sigmoid,do1,20.0,Beta,do1,Sigmoid,do1,Sigmoid,do1,15.0,Beta,do1,Sigmoid,do1,Sigmoid,do1,20.0,Sigmoid,do1,Isotonic,do1,Isotonic,do1,10.0,Isotonic,do1,Beta,do1,Sigmoid,do1,10.0,Beta
MCD-EViM,do1,Beta,do1,Beta,do1,10.0,Isotonic,do1,Beta,do1,Sigmoid,do1,10.0,Isotonic,do1,Beta,do1,Sigmoid,do1,20.0,Sigmoid,do1,Isotonic,do1,Isotonic,do1,10.0,Sigmoid,do1,Sigmoid,do1,Sigmoid,do1,10.0,Sigmoid
