dataset,method,calibration,model,drop_out,reward,run,ece_l1,ece_l2,mce,ece_l1_bound,ece_l2_bound
ood_nsncs_svhn,CTM,Beta,modelvit,do0,rew0,0,0.32157572999095924,0.13228715265220692,0.5260119064539406,0.3774259745056347,0.44296627241480346
ood_nsncs_ti,CTM,Beta,modelvit,do0,rew0,0,0.17756714328705595,0.04943753903380224,0.3632662302603152,0.2910069468968714,0.3759702305631025
ood_nsncs_lsun_cropped,CTM,Beta,modelvit,do0,rew0,0,0.1829267253917987,0.050864775643951234,0.36223506595831306,0.2922709656141542,0.37632008742554024
ood_nsncs_lsun_resize,CTM,Beta,modelvit,do0,rew0,0,0.19989367376203196,0.05710270148832159,0.37556173933184456,0.3133334773718474,0.4050524723785219
ood_nsncs_isun,CTM,Beta,modelvit,do0,rew0,0,0.20079250535124263,0.05522361447688927,0.36063050782757383,0.3216908893207248,0.41959668390880145
ood_nsncs_textures,CTM,Beta,modelvit,do0,rew0,0,0.1550304287270615,0.03942728505672571,0.3319900912517554,0.30616554531875206,0.4104863554937549
ood_nsncs_places365,CTM,Beta,modelvit,do0,rew0,0,0.18616117428730286,0.05409075693933532,0.36960044872102793,0.2987639494045561,0.38305386181011314
val,CTM_mean,Sigmoid,modelvit,do0,rew0,0,0.03262102873302089,0.0029338196379045728,0.27385919395932357,0.21858891503739553,0.33218466188609475
iid_test,CTM_mean,Sigmoid,modelvit,do0,rew0,0,0.026644299929035498,0.001857846429878649,0.16267610112020003,0.22312928912683616,0.3372741586476783
ood_sncs_c10,CTM_mean,Sigmoid,modelvit,do0,rew0,0,0.25815807147278325,0.0725757014419253,0.3683032308099537,0.38081247654275446,0.4870700619029223
ood_nsncs_svhn,CTM_mean,Sigmoid,modelvit,do0,rew0,0,0.28512578599670163,0.10467828249295069,0.5083959635154665,0.34627915298898276,0.4143603547506523
ood_nsncs_ti,CTM_mean,Sigmoid,modelvit,do0,rew0,0,0.2223459857557669,0.06887572576527459,0.39871052169491505,0.3450003908257382,0.43190559905216236
ood_nsncs_lsun_cropped,CTM_mean,Sigmoid,modelvit,do0,rew0,0,0.36956681554585513,0.1540449910659586,0.5520217959959852,0.4878742876827927,0.5998297277749746
ood_nsncs_lsun_resize,CTM_mean,Sigmoid,modelvit,do0,rew0,0,0.25717555297209843,0.08322326477701442,0.4154132700168668,0.3798299580420697,0.47498488288431895
ood_nsncs_isun,CTM_mean,Sigmoid,modelvit,do0,rew0,0,0.24264535967137632,0.07328703274006938,0.38890034558493036,0.37336419810221727,0.47393266771321857
ood_nsncs_textures,CTM_mean,Sigmoid,modelvit,do0,rew0,0,0.18078437045674695,0.046243102869504206,0.35609128187006667,0.343490873177984,0.455508139758939
ood_nsncs_places365,CTM_mean,Sigmoid,modelvit,do0,rew0,0,0.2830119487110254,0.10246904846770757,0.4648890115110313,0.40499125985725926,0.5010180442482197
val,CTM_mean,Isotonic,modelvit,do0,rew0,0,0.04356350989083575,0.006521030749373023,0.7142857142857143,0.21631523196544417,0.33477805407844463
iid_test,CTM_mean,Isotonic,modelvit,do0,rew0,0,0.0312900831266076,0.0029093057943941998,0.7708535925841449,0.2209952280536568,0.3393649529694356
ood_sncs_c10,CTM_mean,Isotonic,modelvit,do0,rew0,0,0.25883416937759895,0.0704038446109605,0.3836186269100313,0.3799435115853028,0.48506426668987185
ood_nsncs_svhn,CTM_mean,Isotonic,modelvit,do0,rew0,0,0.29323903936802137,0.10558582591192998,0.5140014934642112,0.35650500987224654,0.4161377834813776
ood_nsncs_ti,CTM_mean,Isotonic,modelvit,do0,rew0,0,0.2197082344959509,0.06266277633950897,0.7708535925841449,0.340699318412221,0.42526811735078257
ood_nsncs_lsun_cropped,CTM_mean,Isotonic,modelvit,do0,rew0,0,0.3594317091246706,0.14677428132363396,0.9892945768987598,0.48031489282282197,0.59551436799241
ood_nsncs_lsun_resize,CTM_mean,Isotonic,modelvit,do0,rew0,0,0.25111650225145327,0.07552884652801277,0.7708535925841449,0.37208276337037716,0.46694468245330684
ood_nsncs_isun,CTM_mean,Isotonic,modelvit,do0,rew0,0,0.23858875492914156,0.06689995610286287,0.7708535925841449,0.36750502922770567,0.4678895194615711
ood_nsncs_textures,CTM_mean,Isotonic,modelvit,do0,rew0,0,0.17600403643417853,0.0414446091303824,0.7708535925841449,0.3373051489752494,0.45073235925093397
ood_nsncs_places365,CTM_mean,Isotonic,modelvit,do0,rew0,0,0.2730090343043734,0.09218412154514746,0.7708535925841449,0.3939573225483523,0.49124470470885584
