dataset,method,calibration,model,architecture,drop_out,reward,run,ece_l1,ece_l2,mce,ece_l1_bound,ece_l2_bound,k1,bar_p_ood,k2,bar_p2_ood,alpha
val,CTM,Sigmoid,modelvit,ViT,do0,rew0,0,0.00652020696080815,0.0012498661149834413,0.7745626616005085,0.012481224442875876,0.07411153883053145,0.006440712386386549,0.6104919180353192,0.00043955080120344043,0.5057364894637966,0.010101010101010102
iid_test,CTM,Sigmoid,modelvit,ViT,do0,rew0,0,0.00513679702777674,0.0009601842768153559,0.687528170968976,0.01885725294519086,0.10563587543712029,0.008890591188165708,0.8318259656214353,0.002044233135491494,0.75463455785914,0.012259588347767405
ood_sncs_c100,CTM,Sigmoid,modelvit,ViT,do0,rew0,0,0.14719298851507673,0.05098138346181291,0.7571785781007749,0.1555616557379851,0.3367439051497546,0.008890591188165708,0.2859668992292295,0.002044233135491494,0.21239972047625266,1.1247328759419637
ood_nsncs_svhn,CTM,Sigmoid,modelvit,ViT,do0,rew0,0,0.24572847574249485,0.11768594627264603,0.8306449839137799,0.250255363252387,0.4291714307000744,0.008890591188165708,0.3326913723344011,0.002044233135491494,0.24639775394549046,2.92790462265212
ood_nsncs_ti,CTM,Sigmoid,modelvit,ViT,do0,rew0,0,0.1728250451040634,0.05768837605542651,0.7657131395061668,0.18119371232697185,0.3700116282044885,0.008890591188165708,0.3343884173314844,0.002044233135491494,0.25681651803708294,1.1247328759419637
ood_nsncs_lsun_cropped,CTM,Sigmoid,modelvit,ViT,do0,rew0,0,0.1530078973735547,0.05910588870535904,0.7734146545616214,0.16137656459646313,0.32058768171395746,0.008890591188165708,0.29695184355378035,0.002044233135491494,0.1923374860538536,1.1247328759419637
ood_nsncs_lsun_resize,CTM,Sigmoid,modelvit,ViT,do0,rew0,0,0.23702230806532898,0.10125856085860027,0.7914141732724476,0.2453909752882374,0.42216121441321275,0.008890591188165708,0.4556634667916111,0.002044233135491494,0.3348580461420201,1.1247328759419637
ood_nsncs_isun,CTM,Sigmoid,modelvit,ViT,do0,rew0,0,0.22515007666085685,0.09461795849602048,0.7913255935360722,0.23402370107194598,0.4151478407716015,0.008890591188165708,0.4582991610133118,0.002044233135491494,0.34200245103415705,1.0038240917782026
ood_nsncs_textures,CTM,Sigmoid,modelvit,ViT,do0,rew0,0,0.013903691223473366,0.001458649640196982,0.4594882222052568,0.020446234412475922,0.07418460760941409,0.008890591188165708,0.0386627634740614,0.002044233135491494,0.010956381084733312,0.6343493420312676
ood_nsncs_places365,CTM,Sigmoid,modelvit,ViT,do0,rew0,0,0.09631775586691052,0.027464345445634235,0.714527295752992,0.10468642308981896,0.2565990699927333,0.008890591188165708,0.18985849723357887,0.002044233135491494,0.12256663988773184,1.1247328759419637
