,ece_l1,ece_l1,ece_l1,ece_l1,ece_l1,ece_l1,ece_l1,ece_l2,ece_l2,ece_l2,ece_l2,ece_l2,ece_l2,ece_l2,mce,mce,mce,mce,mce,mce,mce,ece_l1_bound,ece_l1_bound,ece_l1_bound,ece_l1_bound,ece_l1_bound,ece_l1_bound,ece_l1_bound,ece_l2_bound,ece_l2_bound,ece_l2_bound,ece_l2_bound,ece_l2_bound,ece_l2_bound,ece_l2_bound
,confidnet,confidnet,devries,devries,dg,dg,dg,confidnet,confidnet,devries,devries,dg,dg,dg,confidnet,confidnet,devries,devries,dg,dg,dg,confidnet,confidnet,devries,devries,dg,dg,dg,confidnet,confidnet,devries,devries,dg,dg,dg
,drop_out,calibration,drop_out,calibration,drop_out,reward,calibration,drop_out,calibration,drop_out,calibration,drop_out,reward,calibration,drop_out,calibration,drop_out,calibration,drop_out,reward,calibration,drop_out,calibration,drop_out,calibration,drop_out,reward,calibration,drop_out,calibration,drop_out,calibration,drop_out,reward,calibration
methods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD-REN,do1,Beta,do1,Isotonic,do1,6.0,Beta,do1,Beta,do1,Beta,do1,6.0,Beta,do1,Sigmoid,do1,Sigmoid,do1,10.0,Beta,do1,Isotonic,do1,Isotonic,do1,6.0,Isotonic,do1,Beta,do1,Beta,do1,6.0,Beta
MCD-PE,do1,Beta,do1,Beta,do1,6.0,Isotonic,do1,Beta,do1,Beta,do1,12.0,Beta,do1,Beta,do1,Sigmoid,do1,12.0,Sigmoid,do1,Isotonic,do1,Isotonic,do1,6.0,Isotonic,do1,Isotonic,do1,Beta,do1,6.0,Beta
MCD-ENeCo,do1,Sigmoid,do1,Sigmoid,do1,6.0,Isotonic,do1,Sigmoid,do1,Sigmoid,do1,15.0,Sigmoid,do1,Sigmoid,do1,Sigmoid,do1,15.0,Sigmoid,do1,Isotonic,do1,Isotonic,do1,6.0,Isotonic,do1,Sigmoid,do1,Sigmoid,do1,6.0,Isotonic
MCD-EGE,do1,Isotonic,do1,Beta,do1,6.0,Isotonic,do1,Isotonic,do1,Beta,do1,15.0,Beta,do1,Sigmoid,do1,Sigmoid,do1,10.0,Beta,do1,Isotonic,do1,Isotonic,do1,6.0,Isotonic,do1,Beta,do1,Beta,do1,6.0,Beta
MCD-pNML,do1,Beta,do1,Isotonic,do1,6.0,Isotonic,do1,Beta,do1,Beta,do1,10.0,Sigmoid,do1,Beta,do1,Sigmoid,do1,10.0,Sigmoid,do1,Isotonic,do1,Isotonic,do1,20.0,Isotonic,do1,Sigmoid,do1,Sigmoid,do1,20.0,Beta
MCD-GE,do1,Isotonic,do1,Beta,do1,6.0,Isotonic,do1,Beta,do1,Beta,do1,12.0,Beta,do1,Sigmoid,do1,Sigmoid,do1,10.0,Beta,do1,Isotonic,do1,Isotonic,do1,6.0,Isotonic,do1,Beta,do1,Beta,do1,6.0,Isotonic
MCD-CTMmean,do1,Beta,do1,Beta,do1,6.0,Isotonic,do1,Beta,do1,Beta,do1,6.0,Sigmoid,do1,Sigmoid,do1,Sigmoid,do1,20.0,Beta,do1,Isotonic,do1,Isotonic,do1,20.0,Isotonic,do1,Beta,do1,Beta,do1,20.0,Beta
MCD-PCA RecError global,do1,Isotonic,do1,Isotonic,do1,6.0,Isotonic,do1,Beta,do1,Beta,do1,15.0,Beta,do1,Beta,do1,Sigmoid,do1,6.0,Beta,do1,Isotonic,do1,Isotonic,do1,6.0,Isotonic,do1,Beta,do1,Beta,do1,6.0,Isotonic
MCD-NeCo,do1,Sigmoid,do1,Sigmoid,do1,6.0,Isotonic,do1,Sigmoid,do1,Sigmoid,do1,20.0,Sigmoid,do1,Sigmoid,do1,Sigmoid,do1,20.0,Sigmoid,do1,Isotonic,do1,Isotonic,do1,20.0,Isotonic,do1,Sigmoid,do1,Sigmoid,do1,20.0,Sigmoid
MCD-CTM,do1,Beta,do1,Isotonic,do1,6.0,Isotonic,do1,Beta,do1,Isotonic,do1,12.0,Beta,do1,Sigmoid,do1,Sigmoid,do1,10.0,Beta,do1,Isotonic,do1,Isotonic,do1,6.0,Isotonic,do1,Beta,do1,Isotonic,do1,6.0,Isotonic
MCD-Confidence,do1,Beta,do1,Beta,do1,6.0,Beta,do1,Beta,do1,Beta,do1,15.0,Beta,do1,Sigmoid,do1,Sigmoid,do1,10.0,Beta,do1,Isotonic,do1,Isotonic,do1,6.0,Isotonic,do1,Beta,do1,Beta,do1,6.0,Beta
MCD-MLS,do1,Sigmoid,do1,Sigmoid,do1,6.0,Beta,do1,Sigmoid,do1,Sigmoid,do1,12.0,Sigmoid,do1,Sigmoid,do1,Sigmoid,do1,12.0,Sigmoid,do1,Isotonic,do1,Isotonic,do1,6.0,Isotonic,do1,Sigmoid,do1,Sigmoid,do1,6.0,Beta
