model,drop out,methods,reward,run,test,cifar10,svhn,tinyimagenet,lsun cropped,lsun resize,isun,textures,places365
confidnet,do1,NNGuide,rew2.2,1.0,0.023874553511982165,0.21319191958563133,0.33522556451174873,0.150241455018794,0.17391332605056922,0.16417930571346379,0.14450090865608112,0.11697947050771985,0.21873187973388675
confidnet,do1,NNGuide,rew2.2,1.4142135623730951,0.030148476524089904,0.20996357085956244,0.3657406961681076,0.16509749153548486,0.16426107838672405,0.16810650705752828,0.15692298678400657,0.11164007090826752,0.2142625517913772
confidnet,do1,NNGuide,rew2.2,1.7320508075688772,0.022156388041824415,0.2291951310963453,0.34843403954962465,0.20009460216888036,0.1893276036120539,0.20063423487502524,0.19256422568455078,0.13072046790046576,0.2336922313555044
confidnet,do1,NNGuide,rew2.2,2.0,0.014456483808191397,0.2353506633502759,0.3238895976513054,0.1998686724306043,0.1825983150814829,0.1997544416285778,0.19096273657526852,0.13602839490909976,0.2398536087213728
confidnet,do1,NNGuide,rew2.2,2.23606797749979,0.015551270470357077,0.24356339023816778,0.43406358426216846,0.1881431379840737,0.20971819018252494,0.19767056856845355,0.18104982029612485,0.14482178834890694,0.2499163318444335
confidnet,do1,CTMmeanOC,rew2.2,1.0,0.02464978480648462,0.22588270065226906,0.34197838316556267,0.17399360032232106,0.19419048729447616,0.192246364082941,0.17175465369827916,0.11549319171170568,0.2316163616459662
confidnet,do1,CTMmeanOC,rew2.2,1.4142135623730951,0.026201805645886315,0.2175917805751458,0.34193565167557183,0.17313496950699186,0.17690309530128295,0.18692059183369392,0.1675029550467143,0.10905959958140136,0.22476578121850133
confidnet,do1,CTMmeanOC,rew2.2,1.7320508075688772,0.013435805984327847,0.23410753501681913,0.34012709905798966,0.17740144645777636,0.19866423328867502,0.17558839153986833,0.16449531635289955,0.125537148780275,0.23936449047388797
confidnet,do1,CTMmeanOC,rew2.2,2.0,0.025370767333780034,0.23537424301182255,0.3183759350772761,0.18936361640675778,0.20111659023195252,0.1942009382310768,0.17903746423977274,0.12821260824833258,0.23792262287507465
confidnet,do1,CTMmeanOC,rew2.2,2.23606797749979,0.02596071572347727,0.23927741089332588,0.4000565615193105,0.16671127534334831,0.18524319642722267,0.18070420126563577,0.163242628069964,0.1284601514998301,0.24427326596222457
confidnet,do1,PCE,rew2.2,1.0,0.01847471728013449,0.2187795456670783,0.3818669555490045,0.1519930467675265,0.19431172476887545,0.1865958641955909,0.1576199720614764,0.13533270418056567,0.22888153477103673
confidnet,do1,PCE,rew2.2,1.4142135623730951,0.03639550379089016,0.20962444252066265,0.40527120855376375,0.16173389822540296,0.179436665462411,0.18153967986344335,0.16127142974558886,0.12664269026393468,0.22180688061256104
confidnet,do1,PCE,rew2.2,1.7320508075688772,0.02256286221374407,0.22541232491679974,0.36635000910733495,0.20212520027071834,0.1905335346501665,0.2031786172963228,0.19352141336063072,0.141386501684768,0.23671165664101418
confidnet,do1,PCE,rew2.2,2.0,0.022864259766946313,0.2325542443112628,0.35688698279306363,0.19376846833086106,0.19963779118702402,0.19959585318805173,0.18789472260659132,0.14673360916062278,0.2408543948341294
confidnet,do1,PCE,rew2.2,2.23606797749979,0.019038090618286804,0.23994897213694166,0.4779662151899026,0.18973061686862114,0.20124147170513612,0.20855013514405474,0.18404216827528522,0.15969735089193776,0.24832110098894034
confidnet,do1,PE,rew2.2,1.0,0.020717218851146503,0.2104707445093474,0.35611542771269794,0.146909988943013,0.18200905928320243,0.16976077508270218,0.14717972786461184,0.12550689423082542,0.22073021714783433
confidnet,do1,PE,rew2.2,1.4142135623730951,0.03477444966539945,0.2035786928349045,0.38063947403511617,0.16645128972104212,0.17373590174855802,0.17374188650723205,0.15815019678185735,0.11946528140927389,0.2144281877758048
confidnet,do1,PE,rew2.2,1.7320508075688772,0.02456662797195822,0.22134285652321625,0.34366184495558405,0.1976088646901945,0.18490594400638397,0.19728064832288694,0.18889886602503336,0.13665987800466894,0.231473655683967
confidnet,do1,PE,rew2.2,2.0,0.02334854138708883,0.22928086622857238,0.33945088249887345,0.2006705563081891,0.19602371687912104,0.20010893105351096,0.19036223509519423,0.14223464416768722,0.2365403985212342
confidnet,do1,PE,rew2.2,2.23606797749979,0.021545432560194748,0.235331689586094,0.44569762642164484,0.1939892696719641,0.20121422403386224,0.20279697330764432,0.18424069416504027,0.14884992632764957,0.24174178023892479
confidnet,do0,Maha,rew2.2,1.0,0.027512582732784285,0.35190656651806185,0.533319799096021,0.37660408507629306,0.3578396422127716,0.38241467253373385,0.35902668637801843,0.24899173184948792,0.35126340271054657
confidnet,do0,Maha,rew2.2,1.4142135623730951,0.020970988515320397,0.32423349857729183,0.5054919097510266,0.333962845557858,0.3123051777280617,0.3414380938343005,0.32044011198318323,0.21276894561622003,0.3167651396451835
confidnet,do0,Maha,rew2.2,1.7320508075688772,0.030193292083015726,0.34385996636691163,0.5152552318598043,0.3514256658522159,0.33529930216381126,0.35557718025765606,0.3327056271071564,0.22415178900847724,0.3375946100649729
confidnet,do0,Maha,rew2.2,2.0,0.013830626649147174,0.327267495279464,0.48806421902852803,0.3232078952629914,0.31272413657309456,0.3270685284362968,0.30300586915437216,0.203731038092797,0.3220389346836609
confidnet,do0,Maha,rew2.2,2.23606797749979,0.032512864253568925,0.3165754553564976,0.5035407177546555,0.3453203419369786,0.3120077543915848,0.3601243804195069,0.33648226841175777,0.2083001837803037,0.31335178141272807
confidnet,do0,CTMmean,rew2.2,1.0,0.026380156534014352,0.2651134513907895,0.35041808799145785,0.23577148960866834,0.24271799141966444,0.23274007055306012,0.2211205850776173,0.13557188963381384,0.25465339571687085
confidnet,do0,CTMmean,rew2.2,1.4142135623730951,0.02956300280123621,0.22796167242087978,0.24024705438229665,0.16581992633781653,0.18302882118383268,0.1532170012494276,0.13584040143348886,0.084007420812283,0.2143165160044846
