dataset,method,calibration,model,architecture,drop_out,reward,run,ece_l1,ece_l2,mce,ece_l1_bound,ece_l2_bound,k1,bar_p_ood,k2,bar_p2_ood,alpha
val,CTM,Sigmoid,modelvit,ViT,do0,rew0,0,0.034613642039246474,0.004371852695799278,0.41844797254232097,0.22937699255590777,0.33946838330953594,0.13636965574132054,0.7213214596066491,0.03307102541060317,0.5498493767073757,0.18906064209274673
iid_test,CTM,Sigmoid,modelvit,ViT,do0,rew0,0,0.0327364355801284,0.0019771112178040206,0.20685250147971768,0.23886058706290797,0.3511745393205442,0.1325504886403247,0.7247438596070447,0.030320117604950472,0.5483896250528766,0.21879760928161257
ood_sncs_c10,CTM,Sigmoid,modelvit,ViT,do0,rew0,0,0.3078921660075621,0.10214250059217204,0.45797189289420925,0.42995047492332217,0.5350064271710088,0.1325504886403247,0.6837218832186039,0.030320117604950472,0.5046013815036056,1.1719207781553966
ood_nsncs_svhn,CTM,Sigmoid,modelvit,ViT,do0,rew0,0,0.5857106901459651,0.35176836546290535,0.727959786625149,0.6511556963411272,0.7290025592854579,0.1325504886403247,0.8211487140620457,0.030320117604950472,0.6957078049656059,3.050744169694129
ood_nsncs_ti,CTM,Sigmoid,modelvit,ViT,do0,rew0,0,0.34358555197486357,0.1226915354188603,0.45410741668786725,0.46564386089062365,0.5769318167875005,0.1325504886403247,0.7498724354318037,0.030320117604950472,0.5909993439679206,1.1719207781553966
ood_nsncs_lsun_cropped,CTM,Sigmoid,modelvit,ViT,do0,rew0,0,0.3786285631834507,0.14850487833330517,0.4614032917646358,0.5006868720992107,0.6184884122842343,0.1325504886403247,0.8148176481046782,0.030320117604950472,0.6830668306111896,1.1719207781553966
ood_nsncs_lsun_resize,CTM,Sigmoid,modelvit,ViT,do0,rew0,0,0.3712572473313803,0.14252491820293037,0.45787724425994875,0.49331555624714046,0.6085364198156985,0.1325504886403247,0.8011563884360363,0.030320117604950472,0.6604355506905946,1.1719207781553966
ood_nsncs_isun,CTM,Sigmoid,modelvit,ViT,do0,rew0,0,0.35191400380371596,0.1261590131115114,0.40634847293643483,0.48148821844088996,0.6038447000963381,0.1325504886403247,0.8151000557953126,0.030320117604950472,0.6842533809369804,1.0459392945036916
ood_nsncs_textures,CTM,Sigmoid,modelvit,ViT,do0,rew0,0,0.15537123525027452,0.04262700089133457,0.37409687538406505,0.2685007130388054,0.34443638192508785,0.1325504886403247,0.4741856890657975,0.030320117604950472,0.25225397766923546,0.6609633188796438
ood_nsncs_places365,CTM,Sigmoid,modelvit,ViT,do0,rew0,0,0.2980177042885226,0.11022345982594939,0.4710701599353939,0.42007601320428267,0.5202243290178415,0.1325504886403247,0.665421543314708,0.030320117604950472,0.4756926358397699,1.1719207781553966
