model,drop out,methods,reward,run,test,cifar100,svhn,tinyimagenet,lsun cropped,lsun resize,isun,textures,places365
confidnet,do1,MCD-MSR,rew2.2,1,0.1902747256945775,0.5333177406728046,0.5728680940860331,0.4581785926988735,0.4750253703160294,0.4354015784441866,0.4284481571404247,0.4469846207271167,0.5227011135088311
confidnet,do1,MCD-MSR,rew2.2,2,0.1893283837167299,0.526557984616566,0.5554902795701425,0.4706267448000511,0.4704278448678737,0.4518245107147066,0.4426935709898753,0.4441717929584438,0.5232586956109004
confidnet,do1,MCD-MSR,rew2.2,3,0.1926463223217507,0.5407996209072218,0.6365824608200191,0.4497356937372183,0.5117605077998393,0.4120949474279364,0.4097724517999291,0.4594953425201204,0.532048386170732
confidnet,do1,MCD-MSR,rew2.2,4,0.1930164342338941,0.5456963761557637,0.6716560553840866,0.4555523141545395,0.5026550592489056,0.4405529110751984,0.4301034748760365,0.4717551687121619,0.5364170249624254
confidnet,do1,MCD-MSR,rew2.2,5,0.1921033556178084,0.5326571855254121,0.5812173235008958,0.4270043622099843,0.5028651974024488,0.3973437271536963,0.3866680218736932,0.4455095364567062,0.5202627434802205
confidnet,do1,MCD-PCE,rew2.2,1,0.1940755428098313,0.5446181542593279,0.570520985507036,0.48992000780581,0.4994997906892847,0.4877633593416244,0.4747176552047042,0.4545834516270572,0.5406141175175366
confidnet,do1,MCD-PCE,rew2.2,2,0.1916328111149801,0.5183241549130454,0.5397908547277979,0.4612476216009603,0.4554126864633566,0.443876775807444,0.4350219423264734,0.4371645751872252,0.5150666829138463
confidnet,do1,MCD-PCE,rew2.2,3,0.194227472735579,0.5333311939618739,0.6309690369449235,0.4233675451848503,0.4951168857921802,0.3749054979681866,0.376295211044845,0.453193293703125,0.5208251530437416
confidnet,do1,MCD-PCE,rew2.2,4,0.1953351151697155,0.5361830532147555,0.6692208914981975,0.4257767685819161,0.4798589995345459,0.402406692233469,0.3947213505507695,0.4643235317032336,0.5222229550029837
confidnet,do1,MCD-PCE,rew2.2,5,0.1927346095566109,0.5261191193538535,0.5663204297407954,0.4180501774925122,0.4868137320628415,0.384381466854426,0.3751789456228118,0.4394060353435176,0.5116178153869743
confidnet,do1,MCD-GEN,rew2.2,1,0.1953358080312867,0.5710589410077179,0.6262908608798592,0.542362738617612,0.549366546791622,0.5419835585676265,0.5269404268464759,0.4844674047054321,0.5723982192225977
confidnet,do1,MCD-GEN,rew2.2,2,0.1920178436934438,0.5669396585926214,0.6110552756086931,0.5429495974486078,0.53999231229321,0.5459108412640628,0.5295003763483315,0.4788771200458095,0.5718104908626485
confidnet,do1,MCD-GEN,rew2.2,3,0.1951045799705919,0.5589003805296805,0.6422279351697735,0.5136155250495572,0.544931451172032,0.5082719113197803,0.4953823751500382,0.4723261314908387,0.5594615863064002
confidnet,do1,MCD-GEN,rew2.2,4,0.1932270420439688,0.565197241759425,0.6712509341015325,0.5184615428202828,0.5405786983082166,0.5242585444139078,0.5073305597552052,0.4835816083035081,0.5666720035947103
confidnet,do1,MCD-GEN,rew2.2,5,0.1938590970993384,0.5497155438722793,0.5950346179865995,0.483096347900282,0.5421134700217989,0.4869591813698223,0.4698592355603521,0.4586648946047997,0.5494086243504315
confidnet,do1,MCD-EMSR,rew2.2,1,0.1969925164427251,0.5629548657380599,0.609427537388428,0.5389670192698581,0.5375273520051937,0.5405213525486152,0.5270819439834115,0.4758752954079384,0.562864465969468
