model,drop out,methods,reward,run,test,cifar10,svhn,lsun cropped,lsun resize,isun,textures,places365
modelvit,do0,MSR,rew0,0,0.2493357930205444,0.469462441724995,0.3308933746779744,0.3233994501768126,0.442481381610976,0.4083768629800598,0.3023578510479284,0.4309457480393748
modelvit,do0,MSR,rew0,0,0.2493357930205444,0.469462441724995,0.3308933746779744,0.3233994501768126,0.442481381610976,0.4083768629800598,0.3023578510479284,0.4309457480393748
modelvit,do0,MSR,rew0,1,0.2500136406587401,0.4671014059043197,0.3216227343357111,0.3152985437304969,0.437280694308903,0.4148954046950222,0.3101066341308257,0.436468012417057
modelvit,do0,MSR,rew0,1,0.2500136406587401,0.4671014059043197,0.3216227343357111,0.3152985437304969,0.437280694308903,0.4148954046950222,0.3101066341308257,0.436468012417057
modelvit,do0,MSR,rew0,2,0.2494774923208804,0.4506802267778999,0.3046329694496603,0.3137964349471517,0.4295845944668501,0.4042868092221322,0.2989602738383537,0.4321633920080365
modelvit,do0,MSR,rew0,2,0.2494774923208804,0.4506802267778999,0.3046329694496603,0.3137964349471517,0.4295845944668501,0.4042868092221322,0.2989602738383537,0.4321633920080365
modelvit,do0,MSR,rew0,3,0.2488327076782778,0.4612843041476641,0.2885717786548263,0.3109979944354348,0.4293960555829483,0.407072409986007,0.3122616752113084,0.4376242829298524
modelvit,do0,MSR,rew0,3,0.2488327076782778,0.4612843041476641,0.2885717786548263,0.3109979944354348,0.4293960555829483,0.407072409986007,0.3122616752113084,0.4376242829298524
modelvit,do0,MSR,rew0,4,0.2448415894921329,0.4540661799871355,0.3384209123760865,0.3109432638267181,0.4291311657236596,0.4118442413398522,0.3077920983807429,0.4319319975284034
modelvit,do0,MSR,rew0,4,0.2448415894921329,0.4540661799871355,0.3384209123760865,0.3109432638267181,0.4291311657236596,0.4118442413398522,0.3077920983807429,0.4319319975284034
modelvit,do0,PCE,rew0,0,0.2504214056662962,0.4624011850821835,0.3081553089569224,0.3085270599067464,0.4339319732614416,0.3991372302373039,0.2898778555136994,0.4213789707624555
modelvit,do0,PCE,rew0,0,0.2504214056662962,0.4624011850821835,0.3081553089569224,0.3085270599067464,0.4339319732614416,0.3991372302373039,0.2898778555136994,0.4213789707624555
modelvit,do0,PCE,rew0,1,0.2501431932481405,0.4627538919148766,0.3060450195652592,0.3042882458499628,0.4324357727145531,0.4092684354564749,0.3011202771537922,0.4299916717831806
