model,drop out,methods,reward,test,cifar100,svhn,tinyimagenet,lsun cropped,lsun resize,isun,textures,places365
confidnet,do0,MSR,rew2.2,0.06818181575810493,0.38809164080088043,0.44624083692148514,0.3131222807809658,0.29712803233742513,0.30111091241887056,0.2841049898228055,0.2677016539298633,0.3727466387698046
confidnet,do0,PCE,rew2.2,0.06826147053520898,0.3847869314293457,0.4433160637571339,0.30593208585637527,0.2900553396912554,0.29210001399966756,0.2757587437689867,0.2648112479706798,0.367987588986057
confidnet,do0,GEN,rew2.2,0.06839807614787442,0.4019563197869763,0.4728093709497004,0.3623498270209676,0.3535913354887613,0.3593862280069052,0.3405687057352685,0.2854771892120038,0.3955284997685532
confidnet,do0,REN,rew2.2,0.06911013787634915,0.39796659240475163,0.4523145127468691,0.3864942104139212,0.35897147262310486,0.3864798442527906,0.37088332799916734,0.27169341461400437,0.39801993853811546
confidnet,do0,PE,rew2.2,0.06954720307277566,0.38457040031995654,0.4500847572808723,0.29777478116850054,0.2834325048864783,0.2814250828810119,0.2656466907922728,0.26540242723904894,0.36449344065759176
confidnet,do0,CTMmeanOC,rew2.2,0.07062759337203264,0.39596994862405116,0.5007579470491968,0.3620561027200923,0.3546431078927671,0.3422150274171681,0.3303204483008125,0.2784295675849069,0.3817252624283169
confidnet,do0,CTMmean,rew2.2,0.0706396840539493,0.39603277884522764,0.5035669240283966,0.36196861715391226,0.3550057381300968,0.3417039923831824,0.32996825527012597,0.2785517959003842,0.38137082972638214
confidnet,do0,GE,rew2.2,0.07067809456596368,0.3861552622894394,0.4557960100054662,0.2926539310274453,0.27768087599443747,0.27428294553639126,0.2588475778407364,0.26658987947148355,0.36355226578942834
confidnet,do0,CTM,rew2.2,0.07144401466315245,0.3738519832395849,0.4434451078051045,0.3120655794250408,0.2524898282319092,0.28596098222365013,0.2748377627786321,0.2542029513106042,0.34676328454954664
confidnet,do1,Confidence,rew2.2,0.0715846182961657,0.3786155924825187,0.4426690739488457,0.2733093254015261,0.3121955836124143,0.2560178696594308,0.24139594925311986,0.26091691826111996,0.3599394278585334
confidnet,do0,fDBD,rew2.2,0.07174094900703609,0.3968523654283757,0.5070892339169087,0.3493352683626435,0.34162111891424596,0.3312405756719915,0.31689266134517025,0.27712275839098716,0.3776911638443313
confidnet,do0,NeCo,rew2.2,0.07414114447409922,0.39303416004783254,0.47791009113037725,0.29099809186285397,0.2793489055085842,0.2712490202105807,0.2563517577613635,0.2762456341974603,0.36449969607724353
confidnet,do0,MLS,rew2.2,0.07414533976232708,0.39311645197119,0.47791231454114247,0.29092389745912317,0.2791774561816899,0.27119297353167243,0.25627943230101174,0.27626099687959976,0.364589594104373
confidnet,do0,KPCA RecError global,rew2.2,0.0755651554185787,0.41251528636865126,0.574976429543971,0.3952711374619485,0.40462457148475756,0.3748024675848075,0.3627663677130776,0.3012613101300098,0.39750457030921893
confidnet,do1,NNGuide,rew2.2,0.07775152446456228,0.3699068355673513,0.3817941288912717,0.22139285974400008,0.2658406179458215,0.19460281233791363,0.18679786629945622,0.2498457370340302,0.33123408861293857
confidnet,do1,GradNorm,rew2.2,0.079529529229271,0.3915643945516246,0.4318872537643418,0.25055834284881257,0.3150764555175226,0.22374942676983345,0.2208999640084892,0.27523010403973713,0.3640502432417486
confidnet,do0,pNML,rew2.2,0.08093061216633043,0.4447088493466668,0.6468176532855295,0.45476956694767,0.4980216312762775,0.4454220982022596,0.4291235273699286,0.34303482563687243,0.4396447192474208
confidnet,do1,Energy,rew2.2,0.08093735753751248,0.3764662836941675,0.42236972624213254,0.2340660702244862,0.27425025153658733,0.19460173190357696,0.1903449660127448,0.26346862040228025,0.3302826229702267
confidnet,do1,PCA RecError global,rew2.2,0.08147626412295952,0.43844624743435984,0.5532133400014105,0.4075644587267814,0.4327610101314824,0.403402590249992,0.3876946927572872,0.32446918591244106,0.44395938983211963
confidnet,do1,ViM,rew2.2,0.08544200723105673,0.4223400040157738,0.5839826872030373,0.4141552147606976,0.398406925868776,0.40553681550471304,0.38377840137887365,0.3104061886504844,0.4033590331458806
confidnet,do1,Residual,rew2.2,0.08803488049804362,0.4386721945080546,0.6186249674307056,0.44244645792585313,0.4208804059604711,0.43413589923900026,0.4103668482315945,0.3242291697705085,0.4204817569603989
confidnet,do1,Maha,rew2.2,0.08851622565761778,0.4430052860237558,0.6246923298824185,0.4529032930827596,0.4329818036320171,0.44645710874562833,0.4220002491184049,0.32842934077425195,0.42752596410013044
devries,do0,PCE,rew2.2,0.07010647846053904,0.3642187876890203,0.36351762064847426,0.2670533153562015,0.23169527647475086,0.24586397397212045,0.23368397517807704,0.23869128597108275,0.34272552929422795
devries,do0,MSR,rew2.2,0.07019815772361604,0.373135039101666,0.38298567617072504,0.29076045314213106,0.2587433051239097,0.27309612113710685,0.25922250585797985,0.2494784007279239,0.3560646822806148
devries,do0,GEN,rew2.2,0.07049836248574666,0.38597588931680893,0.40696860584811934,0.3272191276579455,0.30769463489862564,0.3206226005360032,0.3042818866660213,0.2642937344980536,0.3760308194281586
