model,drop out,methods,reward,run,test,cifar10,svhn,tinyimagenet,lsun cropped,lsun resize,isun,textures,places365
modelvit,do0,Confidence,rew0,0,0.011,0.3878880918220946,0.5920733478793675,0.3878880918220946,0.3878880918220946,0.3878880918220946,0.3598715596330273,0.2456877152698048,0.3878880918220946
modelvit,do0,Confidence,rew0,1,0.0013333333333332,0.4718106782892944,0.6840302730683107,0.4718106782892944,0.4718106782892944,0.4718106782892944,0.4434930555555555,0.330001071811361,0.4718106782892944
modelvit,do0,Confidence,rew0,2,0.0044444444444445,0.4770185306300418,0.6891844095404307,0.4770185306300418,0.4770185306300418,0.4770185306300418,0.4487023678573499,0.3352027452101804,0.4770185306300418
modelvit,do0,Confidence,rew0,3,0.002222222222222,0.4701076587626058,0.6822504872443788,0.4701076587626058,0.4701076587626058,0.4701076587626058,0.44179212507238,0.3282892384697893,0.4701076587626058
modelvit,do0,Confidence,rew0,4,0.0004444444444445,0.4737513210219536,0.6859862456017914,0.4737513210219536,0.4737513210219536,0.4737513210219536,0.4454332831848167,0.3319434878902625,0.4737513210219536
modelvit,do1,Residual,rew0,0,0.0518114315922939,0.6183757990961755,0.7505637637579459,0.6008827978143754,0.5901792413744823,0.622057220512632,0.6094823583456115,0.6813297677196288,0.6895055566557013
modelvit,do1,Residual,rew0,1,0.0599283969676854,0.6347808311633975,0.7631985155896126,0.6158492894939871,0.6197701583686407,0.6310168144105671,0.6104946079069743,0.6397361362753007,0.65643022577255
modelvit,do1,Residual,rew0,2,0.1329237223580435,0.6084565414920233,0.76094878219905,0.5842601949598837,0.5823760668707284,0.6168148413279734,0.594692668917215,0.6813579002237877,0.6940808031106918
modelvit,do1,Residual,rew0,3,0.0545016862260613,0.600742048211043,0.7616456652215202,0.5879563577611572,0.6205532116129939,0.6073587501832675,0.5905615113708078,0.6304806098060296,0.6584509283747089
modelvit,do1,Residual,rew0,4,0.0189444370225104,0.6246225393735773,0.7681817468092212,0.6301522466497071,0.5808304280629352,0.6320074779453991,0.6215169015473736,0.5331484781036837,0.6102923953710608
modelvit,do1,PCA RecError global,rew0,0,0.1501931753489255,0.6047000543646588,0.7188247022688167,0.585869039769194,0.5937635011954363,0.6062553015706243,0.5807560077384853,0.4965056348894408,0.577237859652671
modelvit,do1,PCA RecError global,rew0,1,0.1499823488036915,0.6302204944924269,0.7330782194799895,0.6044872052572251,0.6471960893486273,0.607011336700095,0.598373487936299,0.5881963327563127,0.6031444473921002
modelvit,do1,PCA RecError global,rew0,2,0.191401901589665,0.5827650661994068,0.7042130129596187,0.5819619201806383,0.6105067781038548,0.5943523234854794,0.5667393485555345,0.6226052911341018,0.6128012064347718
modelvit,do1,PCA RecError global,rew0,3,0.0519076937063289,0.6021876718253367,0.738268629947338,0.588697306594915,0.6168755586635782,0.5916598231604746,0.5758690044767694,0.636587283713248,0.626146717591033
modelvit,do1,PCA RecError global,rew0,4,0.0500209986568301,0.6062130911836138,0.7271449316804579,0.5945410411683514,0.6236525282952283,0.5991339501146553,0.5949057429912763,0.6285855631655498,0.6220079062775258
modelvit,do1,PCE,rew0,0,0.2560207778136895,0.4880355185839213,0.6323550042521227,0.5186139912259179,0.5538963947244068,0.5376651797635698,0.5229531613218072,0.2954477902499995,0.5300589216319469
modelvit,do1,PCE,rew0,1,0.2390731487030375,0.5064785419412097,0.6785660170539255,0.5548196885790087,0.5328711534821664,0.5450958370250614,0.5080476855507935,0.3837424456125418,0.5482269288651647
modelvit,do1,PCE,rew0,2,0.2221317371388888,0.4473867260572317,0.5508405589731681,0.4962751894145638,0.4511831757438155,0.5030353310722948,0.4711493448357466,0.3080647888943658,0.4913916334782643
modelvit,do1,PCE,rew0,3,0.1810754938916279,0.4687803952198744,0.608590166388427,0.4925814701762265,0.4979538666989642,0.5054457483392143,0.4782212586683499,0.2911495120025,0.5040178307114187
